StationNumber,GisID,Gis_X,Gis_Y,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,Address,Capacity,CoordinatesID,Longitude,Latitude
001a,001a,"440443,61","4474290,65",001a,1,CENTRO,16,SOL,-CALLE-DE-ALCALA-2,30,001a,-3.701998,40.4171107
001b,001b,"440480,56","4474301,74",001b,1,CENTRO,16,SOL,-CALLE-DE-ALCALA-6,30,001b,-3.7015636,40.4172132
2,2,"440134,83","4474678,23",2,1,CENTRO,15,UNIVERSIDAD,CALLEDE-MIGUEL-MOYA-1,24,2,-3.7056739,40.42058
3,3,"440012,98","4475760,68",3,7,CHAMBERÍ,72,ARAPILES,-PLAZADEL-CONDE-DEL-VALLE-DE-SUCHIL-2,18,3,-3.7072122,40.4303224
4,4,"440396,4","4475565,36",4,1,CENTRO,15,UNIVERSIDAD,-CALLEDE-MANUELA-MALASAÑA-3,24,4,-3.7026739,40.4285905
5,5,"440447,06","4475539,6",5,1,CENTRO,14,JUSTICIA,-CALLEDE-FUENCARRAL-106,27,5,-3.7020743,40.428362
6,6,"440754,26","4475071,08",6,1,CENTRO,14,JUSTICIA,-CALLEDE-HORTALEZA-63,24,6,-3.6984093,40.4241633
7,7,"440811,97","4475187,49",7,1,CENTRO,14,JUSTICIA,-CALLEDE-HORTALEZA-75,21,7,-3.6977399,40.4252161
8,8,"441020,56","4475463,16",8,7,CHAMBERÍ,74,ALMAGRO,-PLAZADE-ALONSO-MARTINEZ-6,24,8,-3.6953067,40.4277143
9,9,"439813,51","4474129,47",9,1,CENTRO,11,PALACIO,-PLAZADE-SAN-MIGUEL-9,24,9,-3.7094093,40.4156134
10,10,"441292,12","4475204,43",10,1,CENTRO,14,JUSTICIA,-CALLEDEL-MARQUES-DE-LA-ENSENADA-16,24,10,-3.6920816,40.4254027
11,11,"440314,86","4475395,19",11,1,CENTRO,15,UNIVERSIDAD,-CALLEDE-SAN-ANDRES-20,24,11,-3.7036192,40.4270517
12,12,"440095,53","4475560,73",12,1,CENTRO,15,UNIVERSIDAD,-CALLEDE-SAN-BERNARDO-87,24,12,-3.7062202,40.4285271
13,13,"439733,78","4475434,65",13,1,CENTRO,15,UNIVERSIDAD,-CALLEDEL-CONDE-DUQUE-22,24,13,-3.7104727,40.4273652
14,14,"439486,2","4475284,13",14,9,MONCLOA-ARAVACA,92,ARGÜELLES,-CALLEDE-VENTURA-RODRIGUEZ-1,24,14,-3.7133768,40.4259913
15,15,"439996,77","4475313,59",15,1,CENTRO,15,UNIVERSIDAD,-CALLEDEL-NORTE-10,21,15,-3.7073611,40.4262937
16,16,"439982,39","4474941,66",16,1,CENTRO,15,UNIVERSIDAD,-CALLEDE-SAN-BERNARDO-22,21,16,-3.7074955,40.4229421
