id_local,desc_distrito_local,desc_barrio_local,direccion,Cod_Postal,coordenada_x_local,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,min_ini_LJ_es,hora_fin_LJ_es 1,min_fin_LJ_es,hora_ini_LJ_ra,min_ini_LJ_ra,hora_fin_LJ_ra,min_fin_LJ_ra,hora_ini_VS_es,min_ini_VS_es,hora_fin_VS_es,min_fin_VS_es,hora_ini_VS_ra,min_ini_VS_ra,hora_fin_VS_ra,min_fin_VS_ra,mesas_es,mesas_ra
"280067128,SAN-BLAS-CANILLEJAS,ROSAS,177 CALLE SOFIA,28022,""448900,55"",""4474755,41"",Abierto,SR,Estacional,Abierta,""7,2"",,Acera,8,0,1,30,,,,,8,0,1,30,,,,,5,"
"270403150,SALAMANCA,GUINDALERA,2 AVENIDA AMERICA,28028,""442586,58"",""4476524,51"",Abierto,HONTANARES,Anual,Abierta,""21,06"",""21,06"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,9,9"
"270078567,SALAMANCA,GUINDALERA,25 CALLE ALONSO HEREDIA,28028,""442986,58"",""4476379,5"",Abierto,BAR MARISQUERIA LUIS,Anual,Abierta,""11,16"",""11,16"",Calle peatonal,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,4,0"
"40002021,SALAMANCA,GUINDALERA,10 CALLE AGUSTIN DURAN,28028,""442972,58"",""4476350,5"",Abierto,SAGAR,Estacional,Abierta,""7,2"",,Calle peatonal,10,0,0,0,,,,,10,0,0,0,,,,,5,"
"40002808,SALAMANCA,RECOLETOS,14 CALLE AYALA,28001,""441656,59"",""4475470,52"",Abierto,WAGABOO,Anual,Abierta,""25,48"",""25,48"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,8,8"
"270495851,SALAMANCA,RECOLETOS,59 CALLE ALCALA,28014,""441350,59"",""4474585,52"",Abierto,THE JAMES JOYCE IRISH PUB,Anual,Abierta,""21,04"",""21,04"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,6,6"
"40001459,SALAMANCA,GUINDALERA,32 AVENIDA AMERICA,28028,""442926,58"",""4476681,5"",Abierto,HOTEL ABBA MADRID,Estacional,Abierta,""19,44"",,Acera,10,0,1,0,,,,,10,0,2,30,,,,,6,"
"180000457,VILLA-DE-VALLECAS,CASCO-H.VALLECAS,5 PLAZA JUAN DE MALASAÑA,28031,""447240,53"",""4470141,43"",Abierto,LA CHOZITA,Anual,Abierta,""84,68"",""64,99"",Plaza peatonal,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,27,21"
"270076142,SALAMANCA,GUINDALERA,225 CALLE ALCALA,28028,""443565,58"",""4475688,49"",Abierto,EL NUEVO RINCÓN DE JAÉN,Anual,Abierta,""21,66"",""21,66"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,8,8"
"270071068,SALAMANCA,GOYA,127 CALLE ALCALA,28009,""442347,58"",""4474952,51"",Abierto,VIENA CAPELLANES,Anual,Abierta,""12,43"",""12,43"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,3,3"
"280062208,VILLAVERDE,SAN-CRISTOBAL,119 CALLE MONCADA,28021,""441294,52"",""4465802,5"",Abierto,BAR LAS TORRES,Estacional,Abierta,""21,66"",,Acera,8,0,1,30,,,,,8,0,1,30,,,,,6,"
