IDDogPark,IDDistrict,DistrictName,IDNeighborhood,NeighborhoodName,InstallDate,Address,Type,TotalElements,isActive
5003458,1,CENTRO,12,EMBAJADORES,03/06/19,CALLE CASINO 3,CANINAS,0,ACTIVO
5107903,1,CENTRO,14,JUSTICIA,12/02/19,CALLE BARCELO 2,CANINAS DE JUEGOS,7,INACTIVO
5003442,1,CENTRO,14,JUSTICIA,12/08/19,CALLE ORELLANA 23,CANINAS DE JUEGOS,7,INACTIVO
4996597,2,ARGANZUELA,21,IMPERIAL,,CALLE COBOS DE SEGOVIA 7,CANINAS,0,ACTIVO
4996643,2,ARGANZUELA,22,ACACIAS,,CALLE ARGANDA 40,CANINAS,0,ACTIVO
4996660,2,ARGANZUELA,22,ACACIAS,,CALLE ARGANDA 40,CANINAS,0,ACTIVO
4996586,2,ARGANZUELA,24,LEGAZPI,,CALLE PUERTO DE BEJAR 7,CANINAS,0,ACTIVO
5214761,2,ARGANZUELA,24,LEGAZPI,04/11/19,AVENIDA PLANETARIO 16,CANINAS,14,ACTIVO
4996591,2,ARGANZUELA,25,DELICIAS,,CALLE TOMAS BRETON 49 A,CANINAS,0,ACTIVO
4996676,2,ARGANZUELA,26,PALOS DE MOGUER,,CALLE CANARIAS 19,CANINAS,0,ACTIVO
4996986,3,RETIRO,31,PACIFICO,,PASEO INFANTA ISABEL 2,CANINAS,0,ACTIVO
5148516,3,RETIRO,31,PACIFICO,04/07/19,CALLE COCHERAS 8,CANINAS,0,ACTIVO
4998011,3,RETIRO,32,ADELFAS,15/09/18,CALLE CERRO NEGRO 14,CANINAS,0,ACTIVO
16829,3,RETIRO,32,ADELFAS,01/07/14,CALLE ARREGUI Y ARUEJ 16,CANINAS DE JUEGOS,4,INACTIVO
4998041,3,RETIRO,33,ESTRELLA,,CALLE JUAN ESPLANDIU 4,CANINAS,0,ACTIVO
4996913,3,RETIRO,35,LOS JERONIMOS,,CALLE POETA ESTEBAN DE VILLEGAS 1,CANINAS,0,ACTIVO
4997005,3,RETIRO,36,NINO JESUS,,CALLE DOCE DE OCTUBRE 30,CANINAS,0,ACTIVO
4997032,3,RETIRO,36,NINO JESUS,,CALLE ANUNCIACION 1,CANINAS,0,ACTIVO
4997144,4,SALAMANCA,43,FUENTE DEL BERRO,,PLAZA AMERICA ESPANOLA 2,CANINAS,0,ACTIVO
5215845,4,SALAMANCA,43,FUENTE DEL BERRO,04/11/19,CALLE SANCHO DAVILA 15,CANINAS,6,ACTIVO
4997171,4,SALAMANCA,44,GUINDALERA,,AVENIDA AMERICA 32,CANINAS,0,ACTIVO
4997200,4,SALAMANCA,44,GUINDALERA,,CALLE BERLIN 5,CANINAS,0,ACTIVO
4997212,4,SALAMANCA,44,GUINDALERA,,CALLE FLORESTAN AGUILAR 2,CANINAS,0,ACTIVO
4990482,4,SALAMANCA,44,GUINDALERA,14/01/19,AVENIDA BRASILIA 2,CANINAS DE JUEGOS,12,ACTIVO
7182477,5,CHAMARTIN,53,CIUDAD JARDIN,21/10/20,CALLE MARCENADO 51,CANINAS DE JUEGOS,12,ACTIVO
4997227,5,CHAMARTIN,54,HISPANOAMERICA,,CALLE COLOMBIA 61,CANINAS,0,ACTIVO
5003498,6,TETUAN,62,CUATRO CAMINOS,01/01/04,CALLE GENERAL RAMIREZ DE MADRID 2,CANINAS,1,ACTIVO
5003495,6,TETUAN,62,CUATRO CAMINOS,01/01/04,AVENIDA GENERAL PERON 11,CANINAS,1,ACTIVO
5003496,6,TETUAN,62,CUATRO CAMINOS,01/01/04,CALLE SAN GERMAN 7,CANINAS,1,ACTIVO
5003497,6,TETUAN,63,CASTILLEJOS,15/10/19,AVENIDA BRASIL 40,CANINAS,1,ACTIVO
7144084,6,TETUAN,63,CASTILLEJOS,10/09/20,CALLE HUESCA 23,CANINAS DE JUEGOS,11,ACTIVO
5003500,6,TETUAN,64,ALMENARA,01/01/04,AVENIDA ASTURIAS 74,CANINAS,1,ACTIVO
5003681,6,TETUAN,64,ALMENARA,01/01/04,CALLE SINESIO DELGADO 7,CANINAS,1,ACTIVO
5005553,6,TETUAN,64,ALMENARA,01/01/04,CALLE CANAVERAL 2,CANINAS,1,ACTIVO
5235281,6,TETUAN,64,ALMENARA,16/12/19,CALLE PADRE RUBIO 79,CANINAS DE JUEGOS,12,ACTIVO
