AÑO;DISTRITO;ESPECIE CANINA;ESPECIE FELINA
2021;ARGANZUELA;10843;5439
2021;BARAJAS;5139;1623
2021;CARABANCHEL;20595;6926
2021;CENTRO;16442;9878
2021;CHAMARTÍN;11361;4122
2021;CHAMBERÍ;13632;4987
2021;CIUDAD LINEAL;17764;8708
2021;FUENCARRAL-EL PARDO;17712;6630
2021;HORTALEZA;16057;8964
2021;LATINA;19253;12184
2021;MONCLOA-ARAVACA;12572;4226
2021;MORATALAZ;6865;2722
2021;PUENTE DE VALLECAS;23675;6699
2021;RETIRO;7942;3311
2021;SALAMANCA;13880;5316
2021;SAN BLAS;14538;5401
2021;TETUÁN;12607;5909
2021;USERA;12519;3175
2021;VICÁLVARO;5335;1634
2021;VILLA DE VALLECAS;10114;3204
2021;VILLAVERDE;13470;2933
