MXASSETNUM;DESCRIPTIO;MINTDISTRI;NOMBRE_DIS;MINTBARRIO;NOMBRE_BAR;ESTADO;INSTALLDAT;MINTTIPOVI;MINTNOMBRE;MINTNUMERO;MINTNDP;MINTDIRECC;MODELO
520067;Papelera Plastic Omnium 50_LTS_EX;11;CARABANCHEL;116;BUENAVISTA;OPERATIVO;18/04/2011;AVENIDA;PESETA;96;31024190;AVENIDA DE LA PESETA,96;50_LTS_EX
7886328;PAPELERA_50_LTS_EX;19;VICALVARO;194;EL CAÑAVERAL;OPERATIVO;; ; ; ; ; ;50_LTS_EX
523337;PAPELERA_50 LTS_EX;3;RETIRO;35;LOS JERONIMOS;OPERATIVO;15/03/2012;CALLE;ANTONIO MAURA;6;11012843;CALLE DE ANTONIO MAURA,6;50_LTS_EX
524819;PAPELERA_50 LTS_EX;10;LATINA;101;LOS CARMENES;OPERATIVO;14/01/2013;CALLE;PROVISIONAL CUÑA LATINA DOS;2;31041654;CALLE DEL CERRO DE LA MICA,5;50_LTS_EX
524788;PAPELERA_50 LTS_EX;13;PUENTE DE VALLECAS;131;ENTREVIAS;OPERATIVO;27/12/2012;RONDA;SUR;229 B;31040899;RONDA SUR,229;50_LTS_EX
526710;PAPELERA_50 LTS_EX;21;BARAJAS;215;CORRALEJOS;OPERATIVO;04/03/2015;CALLE;BAHIA DE MALAGA;18;31038388;CALLE DE LA BAHIA DE MALAGA,18;50_LTS_EX
527838;PAPELERA_50 LTS_EX;21;BARAJAS;214;TIMON;OPERATIVO;30/03/2016;CALLE;MARIA REICHE;69;31039308;CALLE DE MARIA REICHE;50_LTS_EX
464436;PAP_50_LTS_EX;13;PUENTE DE VALLECAS;136;NUMANCIA;OPERATIVO;21/05/2010; ; ; ; ;CALLE DE LAS MARISMAS,2;50_LTS_EX
464985;PAP_50_LTS_EX;20;SAN BLAS-CANILLEJAS;206;REJAS;OPERATIVO;24/05/2010;CALLE;DEYANIRA;15;31002602;CALLE DE ARACNE,33;50_LTS_EX
469223;PAP_50_LTS_EX;16;HORTALEZA;166;VALDEFUENTES;OPERATIVO;31/05/2010;CALLE;PRINCESA DE EBOLI;2;31011790;CALLE DE LA PRINCESA DE EBOLI,2D;50_LTS_EX
470010;PAP_50_LTS_EX;5;CHAMARTIN;56;CASTILLA;OPERATIVO;01/06/2010;AVENIDA;PIO XII;83;11027059;AVENIDA DE PIO XII,94E;50_LTS_EX
470747;PAP_50_LTS_EX;10;LATINA;101;LOS CARMENES;OPERATIVO;02/06/2010;CALLE;CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN;5;31012806;CALLE DEL CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN,5;50_LTS_EX
472726;PAP_50_LTS_EX;5;CHAMARTIN;54;HISPANOAMERICA;OPERATIVO;07/06/2010;CALLE;VICTOR DE LA SERNA;12;11024451;CALLE DE VICTOR DE LA SERNA,12;50_LTS_EX
473347;PAP_50_LTS_EX;5;CHAMARTIN;51;EL VISO;OPERATIVO;08/06/2010;CALLE;ARMANDO PALACIO VALDES;1;11020961;CALLE DE ARMANDO PALACIO VALDES,1;50_LTS_EX
473641;PAP_50_LTS_EX;5;CHAMARTIN;51;EL VISO;OPERATIVO;08/06/2010;AVENIDA;DOCTOR ARCE;17;11020645;AVENIDA DEL DOCTOR ARCE,17;50_LTS_EX
472847;PAP_50_LTS_EX;10;LATINA;103;LUCERO;OPERATIVO;07/06/2010;CALLE;CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN;9;31012808;CALLE DE LA ALHAMBRA,56;50_LTS_EX
474051;PAP_50_LTS_EX;10;LATINA;104;ALUCHE;OPERATIVO;08/06/2010;CALLE;CAMARENA;278;11064862;CALLE DE CAMARENA,195;50_LTS_EX
516432;PAPELERA_50 LTS_EX;3;RETIRO;31;PACIFICO;OPERATIVO;21/02/2011;CALLE;CAVANILLES;4;11010791;PLAZA DE MARIANO DE CAVIA,3;50_LTS_EX
487932;PAP_50_LTS_EX;6;TETUAN;63;CASTILLEJOS;OPERATIVO;14/06/2010;CALLE;ROSARIO PINO;16;11030969;CALLE DE ROSARIO PINO,9;50_LTS_EX
488650;PAP_50_LTS_EX;9;MONCLOA-ARAVACA;91;CASA DE CAMPO;OPERATIVO;15/06/2010;PASEO;PINTOR ROSALES;72;11052972;PASEO DEL PINTOR ROSALES,74;50_LTS_EX
7886679;PAPELERA_50_LTS_EX;19;VICALVARO;194;EL CAÑAVERAL;OPERATIVO;; ; ; ; ; ;50_LTS_EX
7886683;PAPELERA_50_LTS_EX;19;VICALVARO;194;EL CAÑAVERAL;OPERATIVO;;CALLE;SIMPATIA;61;31040318; ;50_LTS_EX
7886688;PAPELERA_50_LTS_EX;19;VICALVARO;194;EL CAÑAVERAL;OPERATIVO;;CALLE;SIMPATIA;11;31040316; ;50_LTS_EX
493935;Papelera 50_LTS_EX;2;ARGANZUELA;23;CHOPERA;OPERATIVO;25/06/2010;CALLE;JAIME EL CONQUISTADOR;48;11008940;CALLE DE JAIME EL CONQUISTADOR,48;50_LTS_EX
495683;PAPELERA_50 LTS_EX;3;RETIRO;32;ADELFAS;OPERATIVO;30/06/2010;AVENIDA;CIUDAD DE BARCELONA;202;11011265;AVENIDA DE LA CIUDAD DE BARCELONA,200;50_LTS_EX
7886690;PAPELERA_50_LTS_EX;19;VICALVARO;194;EL CAÑAVERAL;OPERATIVO;;CALLE;ARROYO DEL CAÑAVERAL;145;31040432; ;50_LTS_EX
499106;PAPELERA_50 LTS_EX;3;RETIRO;34;IBIZA;OPERATIVO;07/07/2010;AVENIDA;MENENDEZ PELAYO;19;11012520;AVENIDA DE MENENDEZ PELAYO,19;50_LTS_EX
499280;PAPELERA_50 LTS_EX;4;SALAMANCA;44;GUINDALERA;OPERATIVO;07/07/2010;CALLE;AZCONA;9;11017353;CALLE DE AZCONA,9;50_LTS_EX
500543;PAPELERA_50 LTS_EX;4;SALAMANCA;45;LISTA;OPERATIVO;08/07/2010;CALLE;JOSE ORTEGA Y GASSET;86 B;31050600;CALLE DE JOSE ORTEGA Y GASSET,88;50_LTS_EX
501071;PAPELERA_50 LTS_EX;11;CARABANCHEL;116;BUENAVISTA;OPERATIVO;09/07/2010;AVENIDA;EURO;11;31017943;AVENIDA DEL EURO,11;50_LTS_EX
502023;Papelera Plastic Omnium 50_LTS_EX;4;SALAMANCA;42;GOYA;OPERATIVO;13/07/2010;CALLE;NARVAEZ;9;11015629;CALLE DE NARVAEZ,9;50_LTS_EX
7886691;PAPELERA_50_LTS_EX;19;VICALVARO;194;EL CAÑAVERAL;OPERATIVO;;CALLE;ARROYO DEL CAÑAVERAL;115;31040429; ;50_LTS_EX
511164;PAPELERA_50 LTS_EX;2;ARGANZUELA;26;PALOS DE MOGUER;OPERATIVO;04/08/2010;CALLE;PALOS DE LA FRONTERA;14;20008158;CALLE DE PALOS DE LA FRONTERA,14;50_LTS_EX
513655;PAPELERA_50 LTS_EX;7;CHAMBERI;73;TRAFALGAR;OPERATIVO;30/11/2010;CALLE;SANDOVAL;4;11039936;CALLE DE SANDOVAL,4;50_LTS_EX
514463;PAPELERA_50 LTS_EX;6;TETUAN;64;ALMENARA;OPERATIVO;11/01/2011;AVENIDA;ASTURIAS;59;20097582;AVENIDA DE ASTURIAS,59;50_LTS_EX
514494;PAPELERA_50 LTS_EX;8;FUENCARRAL-EL PARDO;85;LA PAZ;OPERATIVO;14/01/2011;CALLE;ANTONIO LOPEZ AGUADO;10;11046934;CALLE DE ANTONIO LOPEZ AGUADO,10;50_LTS_EX
